mag_set	expected_count	deposition_status	accession_mapping	browser_or_report_url	notes
95_percent_ANI_representative_MAG_samples	135	public_biosamples	../accessions/mag_sample_accessions.tsv	https://www.ebi.ac.uk/ena/browser/view/PRJEB115259	All 135 derived MAG BioSamples were publicly verified through SAMEA123300624-SAMEA123300758 on 2026-09-01. Some corresponding ERS aliases still return 404 in ENA Browser.
95_percent_ANI_multicontig_MAG_assemblies	122	public_ena_analyses	../accessions/mag_assembly_accessions_pass122.tsv	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB115259&result=analysis	All 122 accepted multi-contig MAG ERZ analyses were publicly verified on 2026-09-01.
95_percent_ANI_single_contig_MAG_assemblies	13	public_biosamples_fasta_in_article_package	../supplementary_tables/supplementary_table_9_ena_mag_deposition_status_20260815.tsv	https://www.ebi.ac.uk/ena/browser/view/PRJEB115259	The 13 BioSamples are public; the single-contig FASTAs remain in the associated article data package because ENA's CONTIG route did not accept single-sequence assemblies.
