TYPE	ACCESSION	ALIAS
SAMPLE	ERS30645926	AK_BKCF_0_AF3_230409
SAMPLE	ERS30645927	AK_BKCF_0_AF3_231114
SAMPLE	ERS30645928	AK_BKCF_0_AF4_230409
SAMPLE	ERS30645929	AK_BKCF_0_AF4_231026
SAMPLE	ERS30645930	AK_BKCF_0_AF2_230312
SAMPLE	ERS30645931	AK_BKCF_0_AF2_231026
SAMPLE	ERS30645932	AK_BKCF_0_AF1_230409
SAMPLE	ERS30645933	AK_BKCF_0_AF1_230911
SAMPLE	ERS30645934	AK_RR_F_PM3_230507
SAMPLE	ERS30645935	AK_RR_F_PM3_231026
SAMPLE	ERS30645936	LPL_P_PM1_230622
SAMPLE	ERS30645937	LPL_P_PM1_230813
SAMPLE	ERS30645938	LPL_P_PF1_230608
SAMPLE	ERS30645939	LPL_P_PF1_230826
SAMPLE	ERS30645940	LPL_P_PF2_230603
SAMPLE	ERS30645941	LPL_P_PF2_230826
SAMPLE	ERS30645942	LPL_P_PM2_230622
SAMPLE	ERS30645943	LPL_P_PM2_230815
SAMPLE	ERS30645944	LPL_0_AF1_230502
SAMPLE	ERS30645945	LPL_0_AF1_230729
SAMPLE	ERS30645946	RR_0_AF1_230112
SAMPLE	ERS30645947	RR_0_AF1_240428
SAMPLE	ERS30645948	RR_0_AF3_230114
SAMPLE	ERS30645949	RR_0_AF3_230507
SAMPLE	ERS30645950	RR_0_AF2_230105
SAMPLE	ERS30645951	RR_0_AF2_230507
SAMPLE	ERS30645952	RR_0_AM1_230115
SAMPLE	ERS30645953	RR_0_AM1_230521
SAMPLE	ERS30645954	RR_F_PF1_230322
SAMPLE	ERS30645955	RR_F_PF1_230521
SAMPLE	ERS30645956	RR_F_PM4_230308
SAMPLE	ERS30645957	RR_F_PM4_240331
SAMPLE	ERS30645958	DMD_0_AM1_210513
SAMPLE	ERS30645959	DMD_0_AM1_240722
SAMPLE	ERS30645960	DMD_0_AF1_211103
SAMPLE	ERS30645961	DMD_0_AF1_240722
SAMPLE	ERS30645962	DMD_B_PF1_210509
SAMPLE	ERS30645963	DMD_B_PF1_240722
SAMPLE	ERS30645964	DMD_D_PF2_230521
SAMPLE	ERS30645965	DMD_D_PF2_240722
SAMPLE	ERS30645966	DMD_C_PM1_220303
SAMPLE	ERS30645967	DMD_C_PM1_221222
SAMPLE	ERS30645968	DMD_C_PM2_220303
SAMPLE	ERS30645969	DMD_C_PM2_220630
SAMPLE	ERS30645970	SRTP_0_AM1_230327
SAMPLE	ERS30645971	SRTP_0_AM1_231124
SAMPLE	ERS30645972	SRTP_0_AF1_230226
SAMPLE	ERS30645973	SRTP_0_AF1_231125
SAMPLE	ERS30645974	SRTP_0_AM2_230226
SAMPLE	ERS30645975	SRTP_0_AM2_231124
SAMPLE	ERS30645976	SRTP_0_AF3_230226
SAMPLE	ERS30645977	SRTP_0_AF3_231130
SAMPLE	ERS30645978	SRTP_0_AM3_230327
SAMPLE	ERS30645979	SRTP_0_AM3_231125
SAMPLE	ERS30645980	SRTP_0_AF5_200226
SAMPLE	ERS30645981	SRTP_0_AF5_231130
SAMPLE	ERS30645982	SRTP_G_PF1_230226
SAMPLE	ERS30645983	SRTP_G_PF1_231130
SAMPLE	ERS30645984	SRTP_H_PM2_230604
SAMPLE	ERS30645985	SRTP_H_PM2_231130
SAMPLE	ERS30645986	PP_0_AM1_230714
SAMPLE	ERS30645987	PP_0_AM1_230814
SAMPLE	ERS30645988	PP_0_AF2_230714
SAMPLE	ERS30645989	PP_0_AF2_230814
SAMPLE	ERS30645990	PP_0_AM2_230714
SAMPLE	ERS30645991	PP_0_AM2_230814
SAMPLE	ERS30645992	PP_K_PF1_230724
SAMPLE	ERS30645993	PP_K_PF1_230904
SAMPLE	ERS30645994	PP_K_PF2_230806
SAMPLE	ERS30645995	PP_K_PF2_230918
SAMPLE	ERS30645996	DMD_B_PF1_210504_MN
SAMPLE	ERS30645997	DMD_B_PF1_210504_HMW
SAMPLE	ERS30645998	DMD_B_PM2_210505_MN
SAMPLE	ERS30645999	DMD_B_PM2_210505_HMW
SAMPLE	ERS30646000	DMD_0_AM1_210513_MN
SAMPLE	ERS30646001	DMD_0_AM1_210513_HMW
SAMPLE	ERS30646002	DMD_0_AF1_210508_MN
SAMPLE	ERS30646003	DMD_0_AF1_210508_HMW
SAMPLE	ERS30646004	STPT_0_AF5_210413_HMW
SAMPLE	ERS30646005	STPT_0_AM1_210415_HMW
SAMPLE	ERS30646006	STPT_0_AF1_210415_HMW
SAMPLE	ERS30646007	STPT_0_AF5_210413_MagBead
SAMPLE	ERS30646008	STPT_0_AM1_210415_MagBead
SAMPLE	ERS30646009	STPT_0_AF1_210415_MagBead
SUBMISSION	ERA36584222	ena-SUBMISSION-TAB-26-06-2026-16:02:51:394-474160
