mag_sample_alias	sample_accession	biosample_accession	status	holdUntilDate
DOGMAG_ANI95_MAG063	ERS31049510	SAMEA123300686	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG064	ERS31049511	SAMEA123300687	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG065	ERS31049512	SAMEA123300688	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG066	ERS31049513	SAMEA123300689	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG067	ERS31049514	SAMEA123300690	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG068	ERS31049515	SAMEA123300691	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG069	ERS31049516	SAMEA123300692	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG070	ERS31049517	SAMEA123300693	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG071	ERS31049518	SAMEA123300694	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG072	ERS31049519	SAMEA123300695	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG073	ERS31049520	SAMEA123300696	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG074	ERS31049521	SAMEA123300697	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG075	ERS31049522	SAMEA123300698	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG076	ERS31049523	SAMEA123300699	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG077	ERS31049524	SAMEA123300700	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG078	ERS31049525	SAMEA123300701	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG079	ERS31049526	SAMEA123300702	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG080	ERS31049527	SAMEA123300703	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG081	ERS31049528	SAMEA123300704	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG082	ERS31049529	SAMEA123300705	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG083	ERS31049530	SAMEA123300706	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG084	ERS31049531	SAMEA123300707	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG085	ERS31049532	SAMEA123300708	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG086	ERS31049533	SAMEA123300709	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG087	ERS31049534	SAMEA123300710	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG088	ERS31049535	SAMEA123300711	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG089	ERS31049536	SAMEA123300712	PRIVATE	2028-06-26+01:00
DOGMAG_ANI95_MAG090	ERS31049537	SAMEA123300713	PRIVATE	2028-06-26+01:00
