rank	taxon	count	fraction	x	ymin	ymax	color_group
phylum	Bacillota	449	0.5669191919191919	95.0	76.0	434.29292929292933	Bacillota
phylum	Bacteroidota	120	0.15151515151515152	95.0	434.29292929292933	530.0505050505051	Bacteroidota
phylum	Actinomycetota	74	0.09343434343434344	95.0	530.0505050505051	589.1010101010102	Actinomycetota
phylum	Bacillota_I	50	0.06313131313131314	95.0	589.1010101010102	629.0000000000001	Bacillota_I
phylum	Fusobacteriota	43	0.054292929292929296	95.0	629.0000000000001	663.3131313131314	Fusobacteriota
phylum	Pseudomonadota	42	0.05303030303030303	95.0	663.3131313131314	696.8282828282829	Pseudomonadota
phylum	Campylobacterota	14	0.017676767676767676	95.0	696.8282828282829	708.0000000000001	Campylobacterota
class	Clostridia	394	0.49747474747474746	391.25	76.0	390.4040404040404	Bacillota
class	Bacteroidia	120	0.15151515151515152	391.25	390.4040404040404	486.16161616161617	Bacteroidota
class	Coriobacteriia	65	0.08207070707070707	391.25	486.16161616161617	538.030303030303	Actinomycetota
class	Bacilli_A	50	0.06313131313131314	391.25	538.030303030303	577.929292929293	Bacillota_I
class	Fusobacteriia	43	0.054292929292929296	391.25	577.929292929293	612.2424242424242	Fusobacteriota
class	Gammaproteobacteria	42	0.05303030303030303	391.25	612.2424242424242	645.7575757575758	Pseudomonadota
class	Negativicutes	29	0.036616161616161616	391.25	645.7575757575758	668.8989898989898	Bacillota
class	Bacilli	18	0.022727272727272728	391.25	668.8989898989898	683.2626262626262	Bacillota
class	Other Class	31	0.039141414141414144	391.25	683.2626262626262	708.0	Campylobacterota
order	Lachnospirales	300	0.3787878787878788	687.5	76.0	315.3939393939394	Bacillota
order	Bacteroidales	120	0.15151515151515152	687.5	315.3939393939394	411.1515151515151	Bacteroidota
order	Coriobacteriales	65	0.08207070707070707	687.5	411.1515151515151	463.020202020202	Actinomycetota
order	Peptostreptococcales	46	0.05808080808080808	687.5	463.020202020202	499.72727272727275	Bacillota
order	Fusobacteriales	43	0.054292929292929296	687.5	499.72727272727275	534.040404040404	Fusobacteriota
order	Erysipelotrichales	38	0.047979797979797977	687.5	534.040404040404	564.3636363636364	Bacillota_I
order	Oscillospirales	29	0.036616161616161616	687.5	564.3636363636364	587.5050505050505	Bacillota
order	Enterobacterales	22	0.027777777777777776	687.5	587.5050505050505	605.060606060606	Pseudomonadota
order	Burkholderiales	20	0.025252525252525252	687.5	605.060606060606	621.020202020202	Pseudomonadota
order	Other Order	109	0.13762626262626262	687.5	621.020202020202	708.0	Bacillota
family	Lachnospiraceae	298	0.37626262626262624	983.75	76.0	313.7979797979798	Bacillota
family	Bacteroidaceae	119	0.15025252525252525	983.75	313.7979797979798	408.75757575757575	Bacteroidota
family	Coriobacteriaceae	62	0.07828282828282829	983.75	408.75757575757575	458.2323232323232	Actinomycetota
family	Peptostreptococcaceae	46	0.05808080808080808	983.75	458.2323232323232	494.93939393939394	Bacillota
family	Fusobacteriaceae	43	0.054292929292929296	983.75	494.93939393939394	529.2525252525253	Fusobacteriota
family	Erysipelotrichaceae	27	0.03409090909090909	983.75	529.2525252525253	550.7979797979798	Bacillota_I
family	Ruminococcaceae	24	0.030303030303030304	983.75	550.7979797979798	569.9494949494949	Bacillota
family	Burkholderiaceae_F	20	0.025252525252525252	983.75	569.9494949494949	585.9090909090909	Pseudomonadota
family	Enterobacteriaceae	20	0.025252525252525252	983.75	585.9090909090909	601.8686868686868	Pseudomonadota
family	Other Family	133	0.16792929292929293	983.75	601.8686868686868	708.0	Bacillota
genus	Blautia	95	0.11994949494949494	1280.0	76.0	151.8080808080808	Bacillota
genus	Blautia_A	64	0.08080808080808081	1280.0	151.8080808080808	202.87878787878788	Bacillota
genus	Collinsella	62	0.07828282828282829	1280.0	202.87878787878788	252.35353535353534	Actinomycetota
genus	Phocaeicola	49	0.06186868686868687	1280.0	252.35353535353534	291.45454545454544	Bacteroidota
genus	Faecalimonas	41	0.05176767676767677	1280.0	291.45454545454544	324.17171717171715	Bacillota
genus	Peptacetobacter	40	0.050505050505050504	1280.0	324.17171717171715	356.09090909090907	Bacillota
genus	Mediterraneibacter	37	0.04671717171717172	1280.0	356.09090909090907	385.6161616161616	Bacillota
genus	Bacteroides	28	0.03535353535353535	1280.0	385.6161616161616	407.95959595959596	Bacteroidota
genus	Fusobacterium_A	26	0.03282828282828283	1280.0	407.95959595959596	428.7070707070707	Fusobacteriota
genus	Prevotella	20	0.025252525252525252	1280.0	428.7070707070707	444.6666666666667	Bacteroidota
genus	Other Genus	330	0.4166666666666667	1280.0	444.6666666666667	708.0	Bacillota
