validation_library_id	validation_cohort	primary_total_reads	refseq_mapped_fraction_of_primary	dogmag_mapped_fraction_of_primary	delta_mapped_fraction_of_primary	refseq_assigned_fraction_of_primary	dogmag_assigned_fraction_of_primary	delta_assigned_fraction_of_primary	refseq_assigned_fraction_of_primary_mapped	dogmag_assigned_fraction_of_primary_mapped	delta_assigned_fraction_of_primary_mapped	refseq_primary_mapped_reads	dogmag_primary_mapped_reads	refseq_final_assigned_reads	dogmag_final_assigned_reads	refseq_mapped_unassigned_or_filtered_reads	dogmag_mapped_unassigned_or_filtered_reads
mixed_kennel_source_01	mixed-kennel source cohort	476350	0.8867156503	0.863707358	-0.02300829230000001	0.8829956964	0.8631468458	-0.019848850599999968	0.9958047951	0.9993510392	0.00354624410000004	422387	411427	420615	411160	1772	267
mixed_kennel_source_02	mixed-kennel source cohort	594110	0.6990018683	0.8393311003	0.14032923200000003	0.6907963172	0.8374156301	0.14661931289999997	0.9882610455	0.997717861	0.009456815499999993	415284	498655	410409	497517	4875	1138
mixed_kennel_source_03	mixed-kennel source cohort	316033	0.6567826778	0.7939139267	0.13713124890000006	0.6500207257	0.7921324672	0.14211174149999994	0.9897044299	0.9977561049	0.008051675000000036	207565	250903	205428	250340	2137	563
mixed_kennel_source_04	mixed-kennel source cohort	1119454	0.4494476772	0.6385282468	0.18908056959999997	0.4383824614	0.6360109482	0.19762848680000006	0.975380414	0.996057655	0.020677241000000013	503136	714803	490749	711985	12387	2818
mixed_kennel_source_05	mixed-kennel source cohort	436723	0.596748969	0.8432461766	0.24649720760000005	0.5863648125	0.8408716738	0.2545068613	0.9825987859	0.997184093	0.014585307099999945	260614	368265	256079	367228	4535	1037
mixed_kennel_source_06	mixed-kennel source cohort	685302	0.7996459955	0.8050844737	0.005438478199999985	0.77114907	0.8035917012	0.032442631200000016	0.9643630737	0.9981458188	0.03378274510000001	547999	551726	528470	550703	19529	1023
mixed_kennel_source_07	mixed-kennel source cohort	840372	0.6639583423	0.8581283051	0.1941699628000001	0.6532261903	0.855623462	0.2023972717	0.9838361065	0.997081039	0.013244932500000028	557972	721147	548953	719042	9019	2105
mixed_kennel_source_08	mixed-kennel source cohort	385035	0.6076616411	0.8192839612	0.21162232010000004	0.5937460231	0.8172893373	0.22354331419999995	0.977099726	0.9975654059	0.020465679900000033	233971	315453	228613	314685	5358	768
mixed_kennel_source_09	mixed-kennel source cohort	4383990	0.3585544219	0.6092557237	0.25070130180000005	0.3478976914	0.6061471399	0.25824944850000003	0.9702786248	0.9948977357	0.024619110899999908	1571899	2670971	1525180	2657343	46719	13628
mixed_kennel_source_10	mixed-kennel source cohort	541682	0.6110577793	0.7178122958	0.10675451650000001	0.6012328266	0.7155138993	0.11428107269999999	0.9839214016	0.9967980536	0.012876651999999988	330999	388826	325677	387581	5322	1245
mixed_kennel_source_11	mixed-kennel source cohort	804711	0.7494802482	0.8618609662	0.11238071799999994	0.7437402993	0.8605959158	0.11685561650000009	0.9923414274	0.9985321873	0.006190759900000065	603115	693549	598496	692531	4619	1018
mixed_kennel_source_12	mixed-kennel source cohort	283265	0.6272077383	0.858390553	0.23118281470000002	0.6183114751	0.8570561135	0.23874463840000004	0.9858160819	0.9984454169	0.012629334999999964	177666	243152	175146	242774	2520	378
mixed_kennel_source_13	mixed-kennel source cohort	672026	0.3734230521	0.6692255954	0.29580254330000005	0.3608193731	0.664943023	0.30412364989999996	0.9662482566	0.9936007044	0.027352447800000013	250950	449737	242480	446859	8470	2878
mixed_kennel_source_14	mixed-kennel source cohort	455480	0.7008101344	0.8672170018	0.1664068674000001	0.6939602178	0.865926056	0.1719658382000001	0.990225717	0.9985113924	0.008285675400000025	319205	395000	316085	394412	3120	588
mixed_kennel_source_15	mixed-kennel source cohort	195187	0.5957773827	0.787557573	0.19178019029999993	0.5858586894	0.7853801739	0.19952148450000007	0.9833516786	0.9972352509	0.013883572300000036	116288	153721	114352	153296	1936	425
mixed_kennel_source_16	mixed-kennel source cohort	257588	0.713627964	0.8679790984	0.15435113440000003	0.7082239856	0.866678572	0.15845458639999999	0.992427457	0.9985016616	0.006074204599999966	183822	223581	182430	223246	1392	335
mixed_kennel_source_17	mixed-kennel source cohort	380822	0.7722584304	0.8886330096	0.11637457920000005	0.7616786845	0.8869235496	0.1252448651	0.986300252	0.9980763037	0.011776051699999956	294093	338411	290064	337760	4029	651
mixed_kennel_source_18	mixed-kennel source cohort	528175	0.7128508544	0.892238368	0.17938751360000005	0.7069759076	0.8909528092	0.18397690160000002	0.991758519	0.9985591757	0.006800656699999963	376510	471258	373407	470579	3103	679
mixed_kennel_source_19	mixed-kennel source cohort	388392	0.623756411	0.6164905559	-0.007265855099999996	0.6046236792	0.6124147768	0.007791097599999963	0.9693265968	0.9933887404	0.02406214360000003	242262	239440	234831	237857	7431	1583
mixed_kennel_source_20	mixed-kennel source cohort	352396	0.7661267438	0.9135205848	0.14739384099999997	0.7613537044	0.9123173929	0.15096368849999997	0.9937699089	0.9986829067	0.004912997799999985	269980	321921	268298	321497	1682	424
mixed_kennel_source_21	mixed-kennel source cohort	301060	0.7512090613	0.8207699462	0.06956088490000001	0.7450973228	0.8194712018	0.07437387900000003	0.991864131	0.9984176511	0.006553520099999988	226159	247101	224319	246710	1840	391
mixed_kennel_source_22	mixed-kennel source cohort	245927	0.7260487868	0.8868851326	0.16083634580000006	0.7185831568	0.8855839334	0.1670007766	0.989717454	0.9985328437	0.008815389699999954	178555	218109	176719	217789	1836	320
mixed_kennel_source_23	mixed-kennel source cohort	1006197	0.7410745609	0.8689083748	0.12783381390000004	0.7348869058	0.8678787554	0.1329918496	0.9916504284	0.9988150426	0.00716461420000003	745667	874293	739441	873257	6226	1036
waltham_SRR32305976_1	Waltham	292278	0.378704521	0.5104284277	0.13172390669999995	0.3720225265	0.5076878862	0.13566535970000004	0.9823556515	0.9946308995	0.012275248000000016	110687	149187	108734	148386	1953	801
waltham_SRR32305977_1	Waltham	567854	0.6886576479	0.8366939389	0.14803629100000004	0.6769239981	0.8345243672	0.15760036909999997	0.9829615631	0.9974069709	0.01444540779999992	391057	475120	384394	473888	6663	1232
waltham_SRR32305978_1	Waltham	513894	0.4714104465	0.7356575481	0.2642471015999999	0.4609939015	0.732186015	0.2711921135	0.9779034488	0.9952810475	0.017377598699999997	242255	378050	236902	376266	5353	1784
waltham_SRR32305980_1	Waltham	1268314	0.4858229114	0.7515086958	0.2656857844	0.4749281329	0.7470925969	0.27216446399999994	0.9775745891	0.994123689	0.016549099900000086	616176	953149	602358	947548	13818	5601
waltham_SRR32305983_1	Waltham	334312	0.6674693101	0.8256718275	0.15820251740000002	0.6607629998	0.822794276	0.16203127620000002	0.9899526313	0.9965148968	0.006562265500000053	223143	276032	220901	275070	2242	962
waltham_SRR32305985_1	Waltham	736095	0.4775674336	0.754996298	0.27742886440000003	0.4622446831	0.7500675864	0.28782290330000004	0.9679150014	0.9934718731	0.025556871699999983	351535	555749	340256	552121	11279	3628
waltham_SRR32305987_1	Waltham	723131	0.4246409019	0.7593036393	0.3346627374	0.4183681795	0.756656816	0.3382886365	0.985228172	0.9965141438	0.011285971800000016	307071	549076	302535	547162	4536	1914
waltham_SRR32305988_1	Waltham	339344	0.6102804234	0.7850499788	0.17476955540000005	0.6029014805	0.78190273	0.17900124949999996	0.9879089307	0.9959910211	0.008082090400000075	207095	266402	204591	265334	2504	1068
waltham_SRR32305989_1	Waltham	468146	0.5164072747	0.8282373448	0.31183007009999997	0.505182144	0.8240313919	0.3188492478999999	0.9782630277	0.9949218025	0.016658774799999998	241754	387736	236499	385767	5255	1969
waltham_SRR32306103_1	Waltham	459477	0.4683433556	0.6422519517	0.17390859610000003	0.4564406924	0.6395118798	0.1830711874	0.9745856046	0.9957336496	0.021148045000000004	215193	295100	209724	293841	5469	1259
waltham_SRR32306104_1	Waltham	473541	0.4599242727	0.7175513841	0.25762711139999994	0.4484511373	0.7142992898	0.2658481525	0.9750542947	0.9954677889	0.020413494199999938	217793	339790	212360	338250	5433	1540
waltham_SRR32306107_1	Waltham	608559	0.7261169418	0.7479422702	0.021825328400000066	0.7142643523	0.745091273	0.030826920700000038	0.9836767485	0.9961882122	0.012511463700000003	441885	455167	434672	453432	7213	1735
waltham_SRR32306108_1	Waltham	864798	0.3641763741	0.7163615087	0.35218513460000006	0.3527471155	0.7117211187	0.3589740032	0.9686161447	0.993522279	0.024906134299999994	314939	619508	305055	615495	9884	4013
waltham_SRR32306109_1	Waltham	77927	0.6482990491	0.7672437024	0.11894465329999993	0.6292684179	0.7605836231	0.13131520520000006	0.970645289	0.9913194735	0.020674184500000026	50520	59789	49037	59270	1483	519
waltham_SRR32306110_1	Waltham	442306	0.4436611757	0.6890388102	0.2453776345	0.4338489643	0.6859821029	0.2521331386	0.9778835472	0.9955638096	0.01768026239999998	196234	304766	191894	303414	4340	1352
waltham_SRR32306111_1	Waltham	518700	0.5304530557	0.7693695778	0.23891652210000003	0.519234625	0.7651821862	0.24594756120000005	0.9788512281	0.9945573731	0.015706145000000005	275146	399072	269327	396900	5819	2172
waltham_SRR32306114_1	Waltham	559731	0.6336454475	0.833169862	0.19952441450000002	0.6259363873	0.8304578449	0.20452145759999996	0.9878337953	0.996744941	0.008911145699999956	354671	466351	350356	464833	4315	1518
waltham_SRR32306118_1	Waltham	1178449	0.4170753253	0.7446822052	0.3276068798999999	0.4029160362	0.7373819317	0.3344658955	0.9660510028	0.9901967934	0.024145790599999994	491502	877570	474816	868967	16686	8603
waltham_SRR32306120_1	Waltham	254835	0.5773735947	0.8340298625	0.25665626779999995	0.5677909235	0.8305295583	0.2627386347999999	0.9834029972	0.9958031429	0.012400145700000031	147135	212540	144693	211648	2442	892
waltham_SRR32306122_1	Waltham	437865	0.7148618867	0.757267651	0.04240576430000009	0.7032555696	0.7547942859	0.051538716299999954	0.9837642526	0.9967338297	0.012969577100000018	313013	331581	307931	330498	5082	1083
waltham_SRR32306123_1	Waltham	730036	0.5102310023	0.7817450098	0.2715140075	0.4983740528	0.7776712381	0.27929718530000003	0.9767616051	0.9947888741	0.018027269000000068	372487	570702	363831	567728	8656	2974
waltham_SRR32306124_1	Waltham	760864	0.6096069731	0.8064844703	0.19687749720000003	0.5908204357	0.8018003217	0.21097988600000006	0.9691825418	0.9941918924	0.02500935060000009	463828	613625	449534	610061	14294	3564
waltham_SRR32306126_1	Waltham	570883	0.4970282878	0.7149573555	0.21792906769999992	0.4884853814	0.7108479321	0.2223625507	0.9828120319	0.9942522118	0.011440179900000014	283745	408157	278868	405811	4877	2346
