public_assembly_id	assembly_file_public	basalt_assembly_index	assembly_class	assembler	source_manifest	source_set	read_entry_number	read_role	public_sample_id	public_read_file	read_file_md5	ena_study	instrument_model	library_name	library_layout	library_strategy	read_platform	source_project	notes
DOGMAG_ASM006	DOGMAG_ASM006.fasta	6	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	DMD_B_PF1_240722	DMD_B_PF1_240722.fastq.gz	c1f656871e39aaf8634fc45757f85688	PRJEB115259	PromethION	DMD_B_PF1_240722_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM007	DOGMAG_ASM007.fasta	7	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	PP_0_AF2_230714	PP_0_AF2_230714.fastq.gz	35623c854f2298c9a1105d2dd0f2fd45	PRJEB115259	PromethION	PP_0_AF2_230714_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM007	DOGMAG_ASM007.fasta	7	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	PP_0_AF2_230814	PP_0_AF2_230814.fastq.gz	d8a2b2eaf7c5c1e104f31d39d1371aaf	PRJEB115259	PromethION	PP_0_AF2_230814_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM008	DOGMAG_ASM008.fasta	8	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	RR_0_AF3_230114	RR_0_AF3_230114.fastq.gz	80e0bca18ef66ef8368aa0a85dca3531	PRJEB115259	PromethION	RR_0_AF3_230114_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM008	DOGMAG_ASM008.fasta	8	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	RR_0_AF3_230507	RR_0_AF3_230507.fastq.gz	625e5817267c8bc7ac8bf55041b132aa	PRJEB115259	PromethION	RR_0_AF3_230507_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM009	DOGMAG_ASM009.fasta	9	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	AK_BKCF_0_AF2_230312	AK_BKCF_0_AF2_230312.fastq.gz	51a94002cfd2e0ff0742fe25d5ab112c	PRJEB115259	PromethION	AK_BKCF_0_AF2_230312_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM009	DOGMAG_ASM009.fasta	9	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	AK_BKCF_0_AF2_231026	AK_BKCF_0_AF2_231026.fastq.gz	b5435a049ad92ab1f574f657b7bcbcb0	PRJEB115259	PromethION	AK_BKCF_0_AF2_231026_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM010	DOGMAG_ASM010.fasta	10	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_plus_serteperti_sixbarcode	1	long_read	SRTP_0_AM1_230327	SRTP_0_AM1_230327.fastq.gz	e70827e0f68931e9f723da89353c2c15	PRJEB115259	PromethION	SRTP_0_AM1_230327_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM010	DOGMAG_ASM010.fasta	10	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_plus_serteperti_sixbarcode	2	long_read	SRTP_0_AM1_231124	SRTP_0_AM1_231124.fastq.gz	0b5dccd3cd6698692d553f29d6988a6b	PRJEB115259	PromethION	SRTP_0_AM1_231124_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM010	DOGMAG_ASM010.fasta	10	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_plus_serteperti_sixbarcode	3	long_read	SRTP_LR_DOG02	SRTP_LR_DOG02_HMW_BC02.fastq.gz	8cdf564d627c455f27990f24cc008f9a	PRJEB115259	MinION	SRTP_LR_DOG02_HMW_BC02_ONT_WGS	SINGLE	WGS	long_read	ENA_PRJEB115259_long_read	
DOGMAG_ASM010	DOGMAG_ASM010.fasta	10	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_plus_serteperti_sixbarcode	4	long_read	SRTP_LR_DOG02	SRTP_LR_DOG02_ZMB96_BC05.fastq.gz	f8f93d908dae9d8b3cb112c9628c8da5	PRJEB115259	MinION	SRTP_LR_DOG02_ZMB96_BC05_ONT_WGS	SINGLE	WGS	long_read	ENA_PRJEB115259_long_read	
DOGMAG_ASM011	DOGMAG_ASM011.fasta	11	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	DMD_D_PF2_240722	DMD_D_PF2_240722.fastq.gz	bc2a6e936f2ac25776b4de774fe04642	PRJEB115259	PromethION	DMD_D_PF2_240722_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM012	DOGMAG_ASM012.fasta	12	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	AK_RR_F_PM3_230507	AK_RR_F_PM3_230507.fastq.gz	1326bb08bac080bc515e64272a09b043	PRJEB115259	PromethION	AK_RR_F_PM3_230507_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM012	DOGMAG_ASM012.fasta	12	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	AK_RR_F_PM3_231026	AK_RR_F_PM3_231026.fastq.gz	abd4d8e13a535a5c6a0142b70f9b7ec6	PRJEB115259	PromethION	AK_RR_F_PM3_231026_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM013	DOGMAG_ASM013.fasta	13	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	RR_F_PF1_230322	RR_F_PF1_230322.fastq.gz	8d5f43286e35325ff3f863c4f2663e51	PRJEB115259	PromethION	RR_F_PF1_230322_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM013	DOGMAG_ASM013.fasta	13	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	RR_F_PF1_230521	RR_F_PF1_230521.fastq.gz	ed430df19c1ad4a9f4e585528d934a86	PRJEB115259	PromethION	RR_F_PF1_230521_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM014	DOGMAG_ASM014.fasta	14	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	PP_0_AM2_230714	PP_0_AM2_230714.fastq.gz	4ec6f57ef0fb9ded2cdf6e64a93b3157	PRJEB115259	PromethION	PP_0_AM2_230714_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM014	DOGMAG_ASM014.fasta	14	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	2	long_read	PP_0_AM2_230814	PP_0_AM2_230814.fastq.gz	d7fc2921628e76f36fcdc014e36957be	PRJEB115259	PromethION	PP_0_AM2_230814_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
DOGMAG_ASM015	DOGMAG_ASM015.fasta	15	long_read_only	Flye --meta	metadata/flye_lr_only_dog_manifest_20260513.tsv	mixed_kennel_lr_only	1	long_read	RR_F_PM4_230308	RR_F_PM4_230308.fastq.gz	6ac8ebc0724f06fe4bf4c4436bbc5dac	PRJEB115259	PromethION	RR_F_PM4_230308_ONT_WGS	SINGLE	WGS	long_read	mixed_kennel_ONT_WGS	Mixed-kennel read renamed to public sample identifier
