source_subset	public_sample_id	collection_date	extraction_code	dna_extraction_workflow	library_preparation	sequencing_platform	dna_measurement_name	dna_measurement_value	dna_measurement_unit	metadata_scope	public_notes	dogmag_finalization_note
mixed_kennel	LPL_P_PM1_230813	2023-08-13	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.8854166667	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	LPL_P_PF1_230608	2023-06-08	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.6692913386	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	LPL_P_PF1_230826	2023-08-26	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.2972027972	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	LPL_P_PF2_230603	2023-06-03	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5519480519	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	LPL_P_PF2_230826	2023-08-26	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.68	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	LPL_P_PM2_230622	2023-06-22	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.8333333333	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	LPL_P_PM2_230815	2023-08-15	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.53125	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	LPL_0_AF1_230502	2023-05-02	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5821917808	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	LPL_0_AF1_230729	2023-07-29	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.6390977444	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_0_AF1_230112	2023-01-12	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.4594594595	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_0_AF1_240428	2024-04-28	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.7456140351	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_0_AF3_230114	2023-01-14	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.8095238095	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_0_AF3_230507	2023-05-07	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5821917808	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_0_AF2_230105	2023-01-05	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.4941860465	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_0_AF2_230507	2023-05-07	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.6028368794	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_0_AM1_230115	2023-01-15	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.8018867925	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_0_AM1_230521	2023-05-21	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.7203389831	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_F_PF1_230322	2023-03-22	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.9572072072	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_F_PF1_230521	2023-05-21	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.2073170732	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_F_PM4_230308	2023-03-08	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.68	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	RR_F_PM4_240331	2024-03-31	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.8534136546	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_0_AM1_210513	2021-05-13	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.4722222222	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_0_AM1_240722	2024-07-22	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.4802259887	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_0_AF1_211103	2021-11-03	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.8415841584	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_0_AF1_240722	2024-07-22	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	1.121372032	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_B_PF1_210509	2021-05-09	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	1.280120482	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_B_PF1_240722	2024-07-22	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.9681093394	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_D_PF2_230521	2023-05-21	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5666666667	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_D_PF2_240722	2024-07-22	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	1.03406326	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_C_PM1_220303	2022-03-03	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	1.101036269	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_C_PM1_221222	2022-12-22	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.8252427184	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_C_PM2_220303	2022-03-03	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	1.075949367	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	DMD_C_PM2_220630	2022-06-30	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.6204379562	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AM1_230327	2023-03-27	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.7798165138	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AM1_231124	2023-11-24	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5379746835	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AF1_230226	2023-02-26	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5483870968	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AF1_231125	2023-11-25	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.265625	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AM2_230226	2023-02-26	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.6589147287	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AM2_231124	2023-11-24	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.4086538462	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AF3_230226	2023-02-26	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.6071428571	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AF3_231130	2023-11-30	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.534591195	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AM3_230327	2023-03-27	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5862068966	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AM3_231125	2023-11-25	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.3695652174	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AF5_200226	2023-02-26	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5782312925	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_0_AF5_231130	2023-11-30	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.3863636364	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_G_PF1_230226	2023-02-26	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.3863636364	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_G_PF1_231130	2023-11-30	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.524691358	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_H_PM2_230604	2023-06-04	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5414012739	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	SRTP_H_PM2_231130	2023-11-30	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.505952381	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	PP_0_AM1_230714	2023-07-14	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.8966244726	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	PP_0_AM1_230814	2023-08-14	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5666666667	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	PP_0_AF2_230714	2023-07-14	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.7142857143	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	PP_0_AF2_230814	2023-08-14	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.7203389831	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	PP_0_AM2_230714	2023-07-14	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5629139073	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	PP_0_AM2_230814	2023-08-14	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.6071428571	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	PP_K_PF1_230724	2023-07-24	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5704697987	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	PP_K_PF1_230904	2023-09-04	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5519480519	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	PP_K_PF2_230806	2023-08-06	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	1.05721393	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	PP_K_PF2_230918	2023-09-18	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.685483871	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
