source_subset	public_sample_id	collection_date	extraction_code	dna_extraction_workflow	library_preparation	sequencing_platform	dna_measurement_name	dna_measurement_value	dna_measurement_unit	metadata_scope	public_notes	dogmag_finalization_note
mixed_kennel	AK_BKCF_0_AF3_230409	2023-04-09	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.4126213592	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	AK_BKCF_0_AF3_231114	2023-11-14	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5555555556	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	AK_BKCF_0_AF4_230409	2023-04-09	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.5902777778	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	AK_BKCF_0_AF4_231026	2023-10-26	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.4722222222	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	AK_BKCF_0_AF2_230312	2023-03-12	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.685483871	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	AK_BKCF_0_AF2_231026	2023-10-26	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.4970760234	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	AK_BKCF_0_AF1_230409	2023-04-09	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.534591195	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	AK_BKCF_0_AF1_230911	2023-09-11	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.53125	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	AK_RR_F_PM3_230507	2023-05-07	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.4941860465	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	AK_RR_F_PM3_231026	2023-10-26	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.3455284553	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
mixed_kennel	LPL_P_PM1_230622	2023-06-22	MagBead	ZymoBIOMICS MagBead DNA/RNA workflow	ONT native-barcoded ligation library	PromethION	Input amount per sample	0.7391304348	as recorded in project metadata	sample-level wet-lab metadata	Mixed-kennel sample; private names and laboratory worksheet identifiers removed.	Copied from existing wet-lab metadata table; exact extraction/basecalling fields requiring coauthor confirmation are tracked in the release checklist.
